Name,Dex Number,Gen,Type 1,Type 2,Classification,Height (meters),Weight (kg),BST,HP,Attack,Defense,Special Atk.,Special Def.,Speed,Ability 1,Ability 2,Ability 3,Ability Hidden,Psuedo-legendary,Legendary,Mythical,Base Evolution,Stage 1 Evolution,Stage 2 Evolution,Flavor text
Bulbasaur,1,I,grass,poison,Seed Pokémon,0.7,6.9,318,45,49,49,65,65,45,Overgrow,,,Chlorophyll,0,0,0,Bulbasaur,Ivysaur,Venusaur,There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.
Ivysaur,2,I,grass,poison,Seed Pokémon,1,13,405,60,62,63,80,80,60,Overgrow,,,Chlorophyll,0,0,0,Bulbasaur,Ivysaur,Venusaur,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
Venusaur,3,I,grass,poison,Seed Pokémon,2,100,525,80,82,83,100,100,80,Overgrow,,,Chlorophyll,0,0,0,Bulbasaur,Ivysaur,Venusaur,Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
Charmander,4,I,fire,,Lizard Pokémon,0.6,8.5,309,39,52,43,60,50,65,Blaze,,,Solar Power,0,0,0,Charmander,Charmeleon,Charizard,"It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail."
Charmeleon,5,I,fire,,Flame Pokémon,1.1,19,405,58,64,58,80,65,80,Blaze,,,Solar Power,0,0,0,Charmander,Charmeleon,Charizard,"It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws."
Charizard,6,I,fire,flying,Flame Pokémon,1.7,90.5,534,78,84,78,109,85,100,Blaze,,,Solar Power,0,0,0,Charmander,Charmeleon,Charizard,It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.
Squirtle,7,I,water,,Tiny Turtle Pokémon,0.5,9,314,44,48,65,50,64,43,Torrent,,,Rain Dish,0,0,0,Squirtle,Wartortle,Blastoise,"When it retracts its long neck into its shell, it squirts out water with vigorous force."
Wartortle,8,I,water,,Turtle Pokémon,1,22.5,405,59,63,80,65,80,58,Torrent,,,Rain Dish,0,0,0,Squirtle,Wartortle,Blastoise,"It is recognized as a symbol of longevity. If its shell has algae on it, that Wartortle is very old."
Blastoise,9,I,water,,Shellfish Pokémon,1.6,85.5,530,79,83,100,85,105,78,Torrent,,,Rain Dish,0,0,0,Squirtle,Wartortle,Blastoise,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell."
Caterpie,10,I,bug,,Worm Pokémon,0.3,2.9,195,45,30,35,20,20,45,Shield Dust,,,Run Away,0,0,0,Caterpie,Metapod,Butterfree,"For protection, it releases a horrible stench from the antenna on its head to drive away enemies."
