Trainer ID,Trainer Name,Pokemon Held,AI Difficulty,Poke1,Poke2,Poke3,Poke4,Poke5,Poke6
0,Player,0,0,,,,,,
1,Youngster Tristan,1,1,Starly,,,,,
2,Youngster Logan,1,1,Burmy,,,,,
3,Lass Natalie,1,5,Bidoof,,,,,
4,Youngster Michael,2,1,Kricketot,Zubat,,,,
5,Camper,1,1,Rattata,,,,,
6,Camper,1,1,Rattata,,,,,
7,Picnicker,1,1,Rattata,,,,,
8,Picnicker,1,1,Rattata,,,,,
9,Youngster,1,1,Rattata,,,,,
10,Youngster Tyler,1,1,Magikarp,,,,,
11,Lass Samantha,1,5,Budew,,,,,
12,Lass Sarah,1,5,Shinx,,,,,
13,Bug Catcher Brandon,2,3,Wurmple,Kricketot,,,,
14,Aroma Lady Taylor,2,5,Budew,Cherubi,,,,
15,Twins Liv & Liz,2,5,Pachirisu,Pachirisu,,,,
16,Camper Jacob,1,7,Ponyta,,,,,
17,Picnicker Siena,2,7,Bidoof,Pachirisu,,,,
18,Hiker Daniel,3,33,Geodude,Geodude,Geodude,,,
19,Hiker Nicholas,1,33,Onix,,,,,
20,Battle Girl Kelsey,1,33,Machop,,,,,
21,Aroma Lady Elizabeth,1,5,Roselia,,,,,
22,Fisherman Andrew,6,1,Magikarp,Magikarp,Magikarp,Magikarp,Magikarp,Magikarp
23,Fisherman Joseph,1,1,Goldeen,,,,,
24,Fisherman Zachary,3,1,Magikarp,Goldeen,Magikarp,,,
25,Cyclist Axel,1,1,Pikachu,,,,,
26,Cyclist James,1,1,Ponyta,,,,,
27,Cyclist John,2,1,Starly,Staravia,,,,
28,Cyclist Ryan,1,1,Shinx,,,,,
29,Cyclist Megan,1,1,Staravia,,,,,
30,Cyclist Nicole,3,1,Starly,Starly,Starly,,,
31,Cyclist Kayla,1,1,Pikachu,,,,,
32,Cyclist Rachel,2,1,Ponyta,Shinx,,,,
33,Youngster Austin,3,1,Buizel,Luxio,Gligar,,,
34,Camper Anthony,1,7,Chimchar,,,,,
35,Picnicker Lauren,1,7,Pachirisu,,,,,
36,Hiker Kevin,4,33,Geodude,Geodude,Onix,Geodude,,
37,Hiker Justin,2,33,Geodude,Nosepass,,,,
38,Battle Girl Helen,2,33,Machop,Meditite,,,,
39,Hiker Robert,1,33,Nosepass,,,,,
40,Hiker Alexander,2,33,Graveler,Probopass,,,,
41,Hiker Jonathan,1,33,Onix,,,,,
42,Black Belt Kyle,1,33,Machop,,,,,
43,Fisherman Cody,2,1,Barboach,Gyarados,,,,
44,Aroma Lady Hannah,2,5,Roselia,Combee,,,,
45,Artist William,2,1,MimeJr.,Bonsly,,,,
46,Pokemon Breeder Albert,4,1,Budew,Bonsly,Pichu,Eevee,,
47,Pokemon Breeder Jennifer,4,1,Budew,MimeJr.,Cleffa,Eevee,,
48,Cowgirl Shelley,1,1,Ponyta,,,,,
49,Jogger Richard,1,1,Luxio,,,,,
50,Pokefan,1,1,Rattata,,,,,
51,Pokefan,1,1,Rattata,,,,,
52,Youngster,1,1,Rattata,,,,,
53,Poke Kid Danielle,1,1,Pichu,,,,,
54,Fisherman,1,1,Rattata,,,,,
55,Young Couple Ty & Sue,2,1,Buneary,Buizel,,,,
56,Pokemon Breeder Kahlil,2,1,Elekid,Happiny,,,,
57,Pokemon Breeder Amber,2,1,Magby,Togepi,,,,
58,Cowgirl,1,1,Rattata,,,,,
59,Jogger,1,1,Rattata,,,,,
60,Pokefan,1,1,Rattata,,,,,
61,Pokefan,1,1,Rattata,,,,,
62,Ace Trainer,1,1,Rattata,,,,,
63,Ace Trainer,1,1,Rattata,,,,,
64,Waitress,1,1,Rattata,,,,,
65,Twins Teri & Tia,2,1,Pikachu,Clefairy,,,,
66,Ace Trainer Ernest,3,7,Scyther,Probopass,Luxio,,,
67,Ace Trainer Alyssa,3,7,Aipom,Girafarig,Grotle,,,
68,Veteran Brian,3,7,Tangela,Ponyta,Buizel,,,
69,Black Belt Adam,1,33,Machoke,,,,,
70,Ninja Boy Joel,4,1,Zubat,Skorupi,Stunky,Golbat,,
71,Ninja Boy Nathan,2,1,Stunky,Golbat,,,,
72,Ninja Boy Davido,1,1,Mothim,,,,,
73,Dragon Tamer Patrick,1,7,Gible,,,,,
74,Bird Keeper Brianna,2,1,Hoothoot,Noctowl,,,,
75,Double Team Zac & Jen,2,1,Gyarados,Raichu,,,,
76,Bird Keeper Alexandra,2,1,Starly,Hoothoot,,,,
77,Battle Girl,1,1,Rattata,,,,,
78,Ninja Boy Zach,3,1,Zubat,Zubat,Zubat,,,
79,Black Belt Sean,3,33,Croagunk,Meditite,Machoke,,,
80,Ninja Boy Nick,2,1,Skorupi,Croagunk,,,,
81,Bird Keeper Katherine,1,1,Noctowl,,,,,
82,Rich Boy Jason,1,1,Prinplup,,,,,
83,Lady Melissa,1,1,Cherubi,,,,,
84,Gentleman Jeremy,1,1,Chatot,,,,,
85,Socialite Reina,1,1,Roselia,,,,,
