Trainer ID,Trainer Name,Gender,Pokemon Held,AI Difficulty,Poke1,Poke2,Poke3,Poke4,Poke5,Poke6
1,Youngster Tristan,m,1,1,Starly,,,,,
2,Youngster Logan,m,1,1,Burmy,,,,,
3,Lass Natalie,f,1,5,Bidoof,,,,,
4,Youngster Michael,m,2,1,Kricketot,Zubat,,,,
10,Youngster Tyler,m,1,1,Magikarp,,,,,
11,Lass Samantha,f,1,5,Budew,,,,,
12,Lass Sarah,f,1,5,Shinx,,,,,
13,Bug Catcher Brandon,m,2,3,Wurmple,Kricketot,,,,
14,Aroma Lady Taylor,f,2,5,Budew,Cherubi,,,,
15,Twins Liv & Liz,f,2,5,Pachirisu,Pachirisu,,,,
16,Camper Jacob,m,1,7,Ponyta,,,,,
17,Picnicker Siena,f,2,7,Bidoof,Pachirisu,,,,
19,Hiker Nicholas,m,1,33,Onix,,,,,
20,Battle Girl Kelsey,f,1,33,Machop,,,,,
21,Aroma Lady Elizabeth,f,1,5,Roselia,,,,,
22,Fisherman Andrew,m,6,1,Magikarp,Magikarp,Magikarp,Magikarp,Magikarp,Magikarp
23,Fisherman Joseph,m,1,1,Goldeen,,,,,
24,Fisherman Zachary,m,3,1,Magikarp,Goldeen,Magikarp,,,
25,Cyclist Axel,m,1,1,Pikachu,,,,,
26,Cyclist James,m,1,1,Ponyta,,,,,
27,Cyclist John,m,2,1,Starly,Staravia,,,,
28,Cyclist Ryan,m,1,1,Shinx,,,,,
29,Cyclist Megan,f,1,1,Staravia,,,,,
30,Cyclist Nicole,f,3,1,Starly,Starly,Starly,,,
31,Cyclist Kayla,f,1,1,Pikachu,,,,,
32,Cyclist Rachel,f,2,1,Ponyta,Shinx,,,,
33,Youngster Austin,m,3,1,Buizel,Luxio,Gligar,,,
34,Camper Anthony,m,1,7,Chimchar,,,,,
35,Picnicker Lauren,f,1,7,Pachirisu,,,,,
36,Hiker Kevin,m,4,33,Geodude,Geodude,Onix,Geodude,,
37,Hiker Justin,m,2,33,Geodude,Nosepass,,,,
38,Battle Girl Helen,f,2,33,Machop,Meditite,,,,
39,Hiker Robert,m,1,33,Nosepass,,,,,
40,Hiker Alexander,m,2,33,Graveler,Probopass,,,,
41,Hiker Jonathan,m,1,33,Onix,,,,,
42,Black Belt Kyle,m,1,33,Machop,,,,,
43,Fisherman Cody,m,2,1,Barboach,Gyarados,,,,
44,Aroma Lady Hannah,f,2,5,Roselia,Combee,,,,
45,Artist William,m,2,1,MimeJr.,Bonsly,,,,
46,Pokemon Breeder Albert,m,4,1,Budew,Bonsly,Pichu,Eevee,,
47,Pokemon Breeder Jennifer,f,4,1,Budew,MimeJr.,Cleffa,Eevee,,
48,Cowgirl Shelley,f,1,1,Ponyta,,,,,
49,Jogger Richard,m,1,1,Luxio,,,,,
53,Poke Kid Danielle,f,1,1,Pichu,,,,,
55,Young Couple Ty & Sue,n,2,1,Buneary,Buizel,,,,
56,Pokemon Breeder Kahlil,f,2,1,Elekid,Happiny,,,,
57,Pokemon Breeder Amber,f,2,1,Magby,Togepi,,,,
65,Twins Teri & Tia,f,2,1,Pikachu,Clefairy,,,,
66,Ace Trainer Ernest,m,3,7,Scyther,Probopass,Luxio,,,
67,Ace Trainer Alyssa,f,3,7,Aipom,Girafarig,Grotle,,,
68,Veteran Brian,m,3,7,Tangela,Ponyta,Buizel,,,
69,Black Belt Adam,m,1,33,Machoke,,,,,
70,Ninja Boy Joel,m,4,1,Zubat,Skorupi,Stunky,Golbat,,
71,Ninja Boy Nathan,m,2,1,Stunky,Golbat,,,,
72,Ninja Boy Davido,m,1,1,Mothim,,,,,
73,Dragon Tamer Patrick,m,1,7,Gible,,,,,
74,Bird Keeper Brianna,f,2,1,Hoothoot,Noctowl,,,,
75,Double Team Zac & Jen,n,2,1,Gyarados,Raichu,,,,
76,Bird Keeper Alexandra,f,2,1,Starly,Hoothoot,,,,
78,Ninja Boy Zach,m,3,1,Zubat,Zubat,Zubat,,,
79,Black Belt Sean,m,3,33,Croagunk,Meditite,Machoke,,,
80,Ninja Boy Nick,m,2,1,Skorupi,Croagunk,,,,
81,Bird Keeper Katherine,f,1,1,Noctowl,,,,,
82,Rich Boy Jason,m,1,1,Prinplup,,,,,
83,Lady Melissa,f,1,1,Cherubi,,,,,
84,Gentleman Jeremy,m,1,1,Chatot,,,,,
85,Socialite Reina,f,1,1,Roselia,,,,,
88,Policeman Bobby,m,2,1,Hoothoot,Machop,,,,
89,Policeman Alex,m,2,1,Hoothoot,Machop,,,,
90,Policeman Dylan,m,2,1,Hoothoot,Machop,,,,
91,Fisherman Juan,m,1,1,Gyarados,,,,,
92,Fisherman Josh,m,2,1,Goldeen,Goldeen,,,,
93,Fisherman Travis,m,4,1,Barboach,Barboach,Gyarados,Barboach,,
94,Pokemon Ranger Taylor,f,2,7,Carnivine,Luxio,,,,
95,Pokemon Ranger Jeffery,m,1,7,Monferno,,,,,
96,Pokemon Ranger Allison,f,2,7,Marill,Leafeon,,,,
99,Scientist Stefano,m,1,5,Kadabra,,,,,
102,Policeman Caleb,m,2,1,Hoothoot,Machop,,,,
103,Swimmer Sheltin,m,3,1,Gyarados,Gyarados,Gyarados,,,
104,Swimmer Evan,m,2,1,Golduck,Golduck,,,,
105,Swimmer Haley,f,2,1,Psyduck,Azumarill,,,,
106,Swimmer Mary,f,2,1,Finneon,Pelipper,,,,
107,Tuber Jared,m,3,1,Shellos,Shellos,Shellos,,,
108,Tuber Chelsea,f,1,1,Marill,,,,,
110,Sailor Paul,m,3,1,Tentacool,Pelipper,Machoke,,,
111,Fisherman Kenneth,m,3,1,Remoraid,Remoraid,Gyarados,,,
113,Ruin Maniac Bryan,m,2,7,Bronzor,Cranidos,,,,
114,Ruin Maniac Ronald,m,1,7,Shieldon,,,,,
119,Psychic Mitchell,m,2,5,Duskull,Kadabra,,,,
120,Psychic Abigail,f,3,5,Chingling,Drifloon,Kirlia,,,
121,PI Carlos,m,1,17,Goldeen,,,,,
127,Black Belt Gregory,m,3,33,Machop,Machop,Machop,,,
128,Black Belt Derek,m,1,33,Croagunk,,,,,
129,Black Belt Nathaniel,m,3,33,Croagunk,Meditite,Machop,,,
130,Jogger Scott,m,1,1,Staravia,,,,,
132,Ace Trainer Blake,m,2,7,Ambipom,Porygon2,,,,
133,Ace Trainer Garrett,m,3,7,Mr.Mime,Dusclops,Scyther,,,
134,Ace Trainer Laura,f,1,7,Tropius,,,,,
135,Ace Trainer Maria,f,3,7,Golduck,Rapidash,Sudowoodo,,,
136,Skier Bradley,m,3,1,Snorunt,Swinub,Snover,,,
137,Skier Edward,m,1,1,Sneasel,,,,,
138,Skier Kaitlyn,f,2,1,Swinub,Snover,,,,
139,Skier Andrea,f,1,1,Snover,,,,,
140,Ace Trainer Dalton,m,2,7,Electabuzz,Magmar,,,,
141,Ace Trainer Olivia,f,3,7,Kirlia,Seaking,Buneary,,,
142,Skier Shawn,m,3,1,Snover,Snover,Snover,,,
143,Skier Bjorn,m,2,1,Swinub,Sneasel,,,,
144,Skier Lexie,f,2,1,Piloswine,Glaceon,,,,
145,Skier Madison,f,1,1,Snorunt,,,,,
146,Ninja Boy Matthew,m,1,1,Golbat,,,,,
147,Ninja Boy Ethan,m,2,1,Skorupi,Golbat,,,,
148,Black Belt Luke,m,3,33,Croagunk,Riolu,Machoke,,,
153,Fisherman Miguel,m,2,1,Gyarados,Gyarados,,,,
154,Fisherman Luc,m,5,1,Remoraid,Remoraid,Remoraid,Gyarados,Remoraid,
159,Swimmer Adrian,m,3,1,Remoraid,Tentacool,Octillery,,,
160,Swimmer Erik,m,1,1,Tentacruel,,,,,
161,Swimmer Vincent,f,2,1,Pelipper,Gastrodon,,,,
162,Swimmer Jessica,f,4,1,Goldeen,Goldeen,Goldeen,Seaking,,
163,Swimmer Erica,f,1,1,Finneon,,,,,
164,Swimmer Katelyn,f,3,1,Buizel,Medicham,Seaking,,,
166,Swimmer Dillon,m,2,1,Remoraid,Floatzel,,,,
167,Swimmer Vanessa,f,1,1,Golduck,,,,,
168,Fisherman Cory,m,3,1,Finneon,Finneon,Finneon,,,
170,Ace Trainer Jake,m,2,7,Staraptor,Girafarig,,,,
171,Ace Trainer Shannon,f,3,7,Cherrim,Azumarill,Lopunny,,,
172,Fisherman Brett,m,3,1,Magikarp,Finneon,Feebas,,,
173,Fisherman Alec,m,2,1,Magikarp,Gyarados,,,,
174,Fisherman George,m,4,1,Magikarp,Finneon,Remoraid,Gyarados,,
175,Fisherman Cole,m,3,1,Gyarados,Remoraid,Gyarados,,,
180,Sailor Luther,m,3,1,Wingull,Machoke,Gastrodon,,,
183,Swimmer Wesley,m,2,1,Floatzel,Tentacruel,,,,
184,Swimmer Ricardo,m,1,1,Tentacruel,,,,,
185,Swimmer Francisco,m,2,1,Tentacool,Golduck,,,,
186,Swimmer Colton,m,3,1,Wingull,Octillery,Pelipper,,,
187,Swimmer Troy,m,1,1,Gyarados,,,,,
188,Swimmer Oscar,m,3,1,Mantyke,Remoraid,Mantine,,,
189,Swimmer Miranda,f,1,1,Lumineon,,,,,
190,Swimmer Aubree,f,2,1,Bibarel,Azumarill,,,,
191,Swimmer Paige,f,3,1,Marill,Wingull,Golduck,,,
192,Swimmer Crystal,f,2,1,Wingull,Seaking,,,,
193,Swimmer Cassandra,f,2,1,Lumineon,Pelipper,,,,
194,Swimmer Gabrielle,f,1,1,Golduck,,,,,
195,Worker Colin,m,2,1,Geodude,Machop,,,,
196,Worker Mason,m,1,1,Geodude,,,,,
201,Bug Catcher Jack,m,3,1,Wurmple,Silcoon,Beautifly,,,
202,Bug Catcher Philip,m,3,1,Wurmple,Cascoon,Dustox,,,
203,Bug Catcher Donald,m,2,1,Burmy,Burmy,,,,
204,Lass Briana,f,1,1,Pachirisu,,,,,
205,Psychic Elijah,m,1,5,Abra,,,,,
206,Psychic Lindsey,f,1,5,Abra,,,,,
224,Ace Trainer Omar,m,3,7,Mamoswine,Mothim,Rampardos,,,
225,Ace Trainer Henry,m,2,7,Rhydon,Carnivine,,,,
226,Ace Trainer Mariah,f,3,7,Blissey,Glalie,Magnezone,,,
227,Ace Trainer Sydney,f,2,7,Clefable,Torterra,,,,
228,Veteran Edgar,m,3,7,Porygon-Z,Tangrowth,Empoleon,,,
229,Veteran Clayton,m,2,7,Staraptor,Lickilicky,,,,
230,Dragon Tamer Ondrej,m,2,7,Altaria,Gabite,,,,
231,Dragon Tamer Clinton,m,3,7,Gible,Swablu,Gabite,,,
232,Black Belt David,m,2,33,Steelix,Steelix,,,,
233,Bird Keeper Hana,f,2,1,Noctowl,Togetic,,,,
234,Psychic Bryce,m,3,5,Haunter,Gardevoir,Gengar,,,
235,Psychic Valencia,f,3,5,Chimecho,Absol,Dusknoir,,,
236,Double Team Jo & Pat,n,2,1,Lumineon,Rapidash,,,,
237,Double Team Al & Kay,n,2,1,Staraptor,Ambipom,,,,
240,Veteran Grant,m,3,7,Riolu,Staraptor,Graveler,,,
244,Youngster Jonathon,m,1,1,Geodude,,,,,
245,Youngster Darius,m,2,1,Geodude,Onix,,,,
246,Gym Leader Roark,m,3,7,Geodude,Onix,Cranidos,,,
250,Gym Leader Byron,m,3,7,Magneton,Steelix,Bastiodon,,,
256,Worker Jackson,m,3,1,Magnemite,Magnemite,Magnemite,,,
257,Worker Gary,m,1,1,Magnemite,,,,,
258,Black Belt Philip,m,1,33,Machoke,,,,,
259,Aroma Lady Jenna,f,3,5,Budew,Budew,Budew,,,
260,Aroma Lady Angela,f,1,5,Roselia,,,,,
261,Elite Four Aaron,m,5,7,Yanmega,Scizor,Vespiquen,Heracross,Drapion,
262,Elite Four Bertha,f,5,7,Whiscash,Gliscor,Hippowdon,Golem,Rhyperior,
263,Elite Four Flint,m,5,7,Houndoom,Flareon,Rapidash,Infernape,Magmortar,
264,Elite Four Lucian,m,5,15,Mr.Mime,Espeon,Bronzong,Alakazam,Gallade,
